"CITYNAME","CITYID","NAHIE","KEYNO","ADDRESS_CODE","FREQ","TYPEOFUSE","ZARFIAT","ZIRBANA","TEDADVAHED","SHAHRROSTA","MAXMASRAFSAAT"
"اردبيل ","001","002","23000121934","051608310000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000139193","051600860000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23000140409","051600860001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23000145012","051600270001","B","40","10","140","1","1021","10"
"اردبيل ","001","002","23000141907","051600860002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23000143599","051600270000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000245400","051601040000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000374123","051603420001","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23000337051","051608680000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000420394","051601720000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000423306","051601720002","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000421882","051601720001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23000524545","051603910001","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23000473770","051601290000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23000523057","051603910000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23000714766","051608820001","B","40","6","27","1","1021","6"
"اردبيل ","001","002","23000964749","051604020000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23001165540","051601510000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23001461047","051605940000","B","40","6","80","1","1021","5.4000000000000004"
"اردبيل ","001","002","23001899821","051608210000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23001837141","051601190000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23002151510","051600370001","B","40","6","120","1","1021","6"
"اردبيل ","001","002","23002153406","051600370000","B","40","6","120","1","1021","6"
"اردبيل ","001","002","23002353535","051605370000","B","40","6","90","1","1021","5.7000000000000002"
"اردبيل ","001","002","23002375905","051601130002","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23002371906","051601130000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23002373724","051601130001","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23002474500","051608280000","B","40","6","45","1","1021","6"
"اردبيل ","001","002","23002792240","051600690000","B","40","6","110","1","1021","6"
"اردبيل ","001","002","23002754554","051609000000","B","40","6","45","1","1021","6"
"اردبيل ","001","002","23002713904","051604010000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23002654224","051604590001","B","40","6","95","1","1021","6"
"اردبيل ","001","002","23002779415","051600700001","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23002932007","051608710000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23002924350","051601000000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23003216246","051605630000","B","40","6","90","1","1021","3.8999999999999999"
"اردبيل ","001","002","23003120548","051605300000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23003147806","051606310000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23003192330","051605670000","B","40","6","90","1","1021","4.2000000000000002"
"اردبيل ","001","002","23003300782","051600980000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23003436406","051600290000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23003302080","051600980001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23003303636","051600980002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23003438224","051600290002","B","40","10","140","1","1021","10"
"اردبيل ","001","002","23003581329","051606370000","B","40","6","80","1","1021","2.7000000000000002"
"اردبيل ","001","002","23003622864","051600600000","B","40","6","110","1","1021","6"
"اردبيل ","001","002","23003717200","051605610000","B","40","6","100","1","1021","5.4000000000000004"
"اردبيل ","001","002","23003732423","051606330000","B","40","6","80","1","1021","3.2999999999999998"
"اردبيل ","001","002","23003538328","051606360000","B","40","6","50","1","1021","4.2000000000000002"
"اردبيل ","001","002","23003756317","051606280000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23003885787","051601110001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23003865714","051603510000","B","40","6","66","1","1021","6"
"اردبيل ","001","002","23003993980","051606350000","B","40","6","60","1","1021","3.2999999999999998"
"اردبيل ","001","002","23004058879","051604140001","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23004041202","051600730000","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23004042859","051600730001","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23004065549","051605620000","B","40","6","90","1","1021","5.4000000000000004"
"اردبيل ","001","002","23004060709","051604140000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23004076660","051604330000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23004105075","051606180000","B","40","6","80","1","1021","2.7000000000000002"
"اردبيل ","001","002","23004231876","051609120000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23004457038","051603450000","B","40","6","120","1","1021","6"
"اردبيل ","001","002","23004740704","051605870001","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23004691974","051609360000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23005069061","051606300000","B","40","6","80","1","1021","4.7999999999999998"
"اردبيل ","001","002","23005440095","051604760000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23005401900","051600570001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23005392527","051608660000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23005175210","051606390000","B","40","6","80","1","1021","5.5"
"اردبيل ","001","002","23005453093","051600860003","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23005701564","051603880001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23005665095","051604090000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23005699486","051603890001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23005620161","051606190000","B","40","6","100","1","1021","2.7000000000000002"
"اردبيل ","001","002","23005809351","051608860000","B","40","6","40","1","1021","6"
"اردبيل ","001","002","23005842208","051608940000","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23005845809","051606340001","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23005847569","051606340000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23005884404","051605920000","B","40","6","115","1","1021","6"
"اردبيل ","001","002","23005999266","051604170000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23006097237","051604350000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23006065822","051604180000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23006018832","051606040000","B","40","6","100","1","1021","4.7999999999999998"
"اردبيل ","001","002","23006394742","051605220000","B","40","6","60","1","1021","2.6000000000000001"
"اردبيل ","001","002","23006241900","051606050000","B","40","10","140","2","1021","10"
"اردبيل ","001","002","23006216348","051600810000","B","40","6","77","1","1021","6"
"اردبيل ","001","002","23006367204","051604400000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23006401729","051606320000","B","40","6","80","1","1021","3"
"اردبيل ","001","002","23006403194","051605660000","B","40","10","80","2","1021","7.0999999999999996"
"اردبيل ","001","002","23006217836","051600790000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23006472318","051603210001","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23006543960","051604770000","B","40","6","80","1","1021","2.7000000000000002"
"اردبيل ","001","002","23006470500","051603210000","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23006474136","051603210002","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23006747920","051603900001","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23006663969","051604340000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23006699420","051605270001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23006953015","051603580000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23006951650","051603570000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23007156214","051606380000","B","40","6","80","1","1021","5.4000000000000004"
"اردبيل ","001","002","23007159236","051604210010","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23007488735","051608300000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23007411002","051603920001","B","40","6","110","1","1021","6"
"اردبيل ","001","002","23007409751","051603920000","B","40","6","110","1","1021","6"
"اردبيل ","001","002","23007429361","051608850000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23007497686","051606240000","B","40","6","80","1","1021","4.5"
"اردبيل ","001","002","23007447969","051600680000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23007740385","051605480000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23007635035","051604180001","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23007602427","051600910000","B","40","6","120","1","1021","6"
"اردبيل ","001","002","23007747228","051600780000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23008407230","051601110000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23008316088","051604590000","B","40","6","100","1","1021","4.7999999999999998"
"اردبيل ","001","002","23008366216","051605650000","B","40","6","90","1","1021","5.7000000000000002"
"اردبيل ","001","002","23008454004","051604230000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23008523181","051609090000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23008523829","051605250000","B","40","6","90","1","1021","3.8999999999999999"
"اردبيل ","001","002","23008677707","051605770000","B","26","10","25","1","1021","10"
"اردبيل ","001","002","23009098474","051605110000","B","40","16","250","3","1021","16"
"اردبيل ","001","002","23009150043","051606230000","B","40","6","80","1","1021","4.5"
"اردبيل ","001","002","23009357310","051603840000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23009370203","051600800000","B","20","6","28","1","1021","6"
"اردبيل ","001","002","23009450923","051603930000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23009526374","051603940000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23009532361","051606060000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23009533850","051606060001","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23009728800","051604660000","B","40","6","100","1","1021","4.7999999999999998"
"اردبيل ","001","002","23009842933","051609080000","B","40","6","40","1","1021","6"
"اردبيل ","001","002","23009771006","051603810000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23010380006","051600650000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23010388389","051603770000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23010587509","051603870002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23010588870","051603870003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23010545186","051603080000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23010546674","051603080001","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23010585564","051603870001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23010602174","051600370002","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23010603662","051600370003","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23010608629","051600380000","B","20","6","70","1","1021","6"
"اردبيل ","001","002","23010606458","051600390000","B","20","6","70","1","1021","6"
"اردبيل ","001","002","23010605549","051600400000","B","20","6","70","1","1021","6"
"اردبيل ","001","002","23010690972","051606070000","B","20","6","10","1","1021","6"
"اردبيل ","001","002","23010794544","051605290000","B","40","6","80","1","1021","3.8999999999999999"
"اردبيل ","001","002","23010703245","051600720000","B","40","10","140","1","1021","10"
"اردبيل ","001","002","23010783943","051605280000","B","40","6","90","1","1021","3.8999999999999999"
"اردبيل ","001","002","23010788036","051603760000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23010867268","051605530000","B","25","16","50","1","1021","16"
"اردبيل ","001","002","23011221399","051600750000","B","40","10","150","1","1021","10"
"اردبيل ","001","002","23011273630","051604060000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23011388107","051604260000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23011607185","051607300000","B","40","6","45","1","1021","6"
"اردبيل ","001","002","23011674138","051604410000","B","40","6","45","1","1021","6"
"اردبيل ","001","002","23011851066","051601090000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23012251961","051604200003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012250473","051604200002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012341047","051605430001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012330967","051600770000","B","40","6","85","1","1021","6"
"اردبيل ","001","002","23012398128","051604530001","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23012266493","051601180000","B","40","6","85","1","1021","6"
"اردبيل ","001","002","23012439505","051606430010","B","20","6","70","1","1021","6"
"اردبيل ","001","002","23012407738","051603190000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23012737104","051608320000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012724106","051603470000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012725604","051603470001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012851690","051605930000","B","40","6","80","1","1021","4.7999999999999998"
"اردبيل ","001","002","23012917701","051600910001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23013003399","051604240000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23012965306","051601290001","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23013018331","051601290002","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23013192805","051605270000","B","40","6","80","1","1021","5.4000000000000004"
"اردبيل ","001","002","23013365622","051604190000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23013649439","051609150000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23013783750","051604670000","B","40","6","75","1","1021","6"
"اردبيل ","001","002","23013817937","051608960000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23014066343","051601070001","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23014064525","051601070000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23014160630","051604100000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016717356","051608800001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016127251","051601220000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016130680","051601220002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23014862700","051601150000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23015601414","051606020000","B","40","6","100","1","1021","4.7999999999999998"
"اردبيل ","001","002","23014162221","051604100001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23017042610","051600560001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016651302","051605520001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23017013069","051601630001","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23014254972","051604600000","B","40","6","100","1","1021","4.2000000000000002"
"اردبيل ","001","002","23016816540","051609180000","B","40","6","40","1","1021","6"
"اردبيل ","001","002","23015040802","051601730000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23017014036","051601630000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23015333401","051604610000","B","40","6","55","1","1021","6"
"اردبيل ","001","002","23014452909","051600540000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23014163593","051604100002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016241679","051600110000","B","40","6","0","1","1021","4.7999999999999998"
"اردبيل ","001","002","23017011603","051601630002","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23017043813","051600560000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016324437","051604720000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23016128681","051601220001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23016131883","051601220003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23015965281","051603160000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23014165017","051604100003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23014620523","051606220000","B","40","6","100","1","1021","3.2999999999999998"
"اردبيل ","001","002","23015572362","051600190000","B","20","6","30","1","1021","6"
"اردبيل ","001","002","23015632951","051606030000","B","40","6","80","1","1021","4.7999999999999998"
"اردبيل ","001","002","23015138102","051605260000","B","40","6","90","1","1021","3.2999999999999998"
"اردبيل ","001","002","23016395831","051603430000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23015523612","051601120000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23018660605","051603800000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23018673309","051604090001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23019096836","051600590002","B","40","6","85","1","1021","6"
"اردبيل ","001","002","23017934480","051606440000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23019095869","051600590001","B","40","6","85","1","1021","6"
"اردبيل ","001","002","23018851430","051600100000","B","20","10","140","1","1021","10"
"اردبيل ","001","002","23017977949","051600260000","B","20","6","36","1","1021","6"
"اردبيل ","001","002","23018596700","051600540001","B","40","6","72","1","1021","6"
"اردبيل ","001","002","23018966419","051601310000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23018968984","051601310002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23019077035","051603840001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23017954501","051604530000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23018141917","051600330000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23019490902","051606250001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23019492378","051606250002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23019494312","051606250003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23018495287","051604080000","B","40","6","40","1","1021","6"
"اردبيل ","001","002","23018545437","051604320000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23019095574","051600590000","B","40","6","85","1","1021","6"
"اردبيل ","001","002","23018432620","051605550000","B","20","10","80","1","1021","10"
"اردبيل ","001","002","23018474994","051604580002","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23018671206","051604090002","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23018095461","051605540000","B","20","6","18","1","1021","6"
"اردبيل ","001","002","23018816992","051606450000","B","40","6","80","1","1021","4.7999999999999998"
"اردبيل ","001","002","23017914939","051604540000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23018967260","051601310001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23018662355","051603800001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23019861235","051605320000","B","40","6","75","1","1021","6"
"اردبيل ","001","002","23020518565","051604210001","B","40","6","120","1","1021","6"
"اردبيل ","001","002","23020784806","051600080000","B","40","6","84","1","1021","3.5"
"اردبيل ","001","002","23021277220","051600490000","B","20","6","20","1","1021","6"
"اردبيل ","001","002","23020643878","051605370003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23020642506","051605370002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23020649685","051605840000","B","20","6","18","1","1021","6"
"اردبيل ","001","002","23020305949","051605810000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23020083201","051600090002","B","40","6","45","1","1021","6"
"اردبيل ","001","002","23020085010","051600090001","B","40","6","45","1","1021","6"
"اردبيل ","001","002","23019719402","051603420000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23020307304","051605810001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23020965507","051602770000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23020705822","051605590000","B","20","6","28","1","1021","6"
"اردبيل ","001","002","23020174680","051604710000","B","40","6","74","1","1021","6"
"اردبيل ","001","002","23020519995","051604210000","B","40","6","120","1","1021","6"
"اردبيل ","001","002","23021556885","051604220000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23021840930","051600280000","B","26","6","60","1","1021","6"
"اردبيل ","001","002","23022703709","051603870000","B","40","6","110","1","1021","6"
"اردبيل ","001","002","23021278944","051600510000","B","20","6","12","1","1021","6"
"اردبيل ","001","002","23021281910","051600520000","B","20","6","12","1","1021","6"
"اردبيل ","001","002","23022220604","051600200001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23021667127","051601480000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23021668783","051601480001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23021808824","051606010000","B","40","6","120","1","1021","4.2000000000000002"
"اردبيل ","001","002","23022602059","051604070000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23021283670","051600460000","B","20","6","15","1","1021","6"
"اردبيل ","001","002","23022551705","051604610001","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23021280590","051600480000","B","20","6","15","1","1021","6"
"اردبيل ","001","002","23022468983","051601680001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23022959509","051600970000","B","40","6","90","1","1021","6"
"اردبيل ","001","002","23022081767","051601410000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23022789340","051600090000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23022114808","051601050001","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23022867721","051605470000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23023015147","051606210000","B","40","6","100","1","1021","3.8999999999999999"
"اردبيل ","001","002","23022853756","051600710000","B","25","16","260","1","1021","16"
"اردبيل ","001","002","23022012012","051606130000","B","20","6","20","1","1021","6"
"اردبيل ","001","002","23021842521","051600290001","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23022219162","051600200000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23022082676","051601410001","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23021669987","051601480002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23022472926","051601680000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23021912007","051606250000","B","40","6","120","1","1021","4.7999999999999998"
"اردبيل ","001","002","23022113772","051601050000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23021304563","051601610002","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23022471143","051601680002","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23022470234","051601680003","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23022744122","051606410000","B","40","10","140","2","1021","6.4000000000000004"
"اردبيل ","001","002","23023683190","051601250000","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23023578076","051605230000","B","40","6","100","1","1021","3.8999999999999999"
"اردبيل ","001","002","23023384150","051601170000","B","40","6","59","1","1021","6"
"اردبيل ","001","002","23023499423","051606160000","B","40","10","164","2","1021","6.5999999999999996"
"اردبيل ","001","002","23023782216","051605990000","B","40","6","100","1","1021","3.8999999999999999"
"اردبيل ","001","002","23024475700","051601460000","B","40","6","75","1","1021","6"
"اردبيل ","001","002","23023065385","051609170000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23023659016","051605960000","B","40","6","100","1","1021","3.8999999999999999"
"اردبيل ","001","002","23024312607","051609200000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23023258970","051604200001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23023684225","051601250001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23024394476","051600500000","B","20","6","25","1","1021","6"
"اردبيل ","001","002","23023909768","051609020000","B","40","6","25","1","1021","6"
"اردبيل ","001","002","23024502307","051601060000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23023818800","051605900000","B","40","6","75","1","1021","3.2999999999999998"
"اردبيل ","001","002","23024641743","051605150000","B","40","6","85","1","1021","6"
"اردبيل ","001","002","23023635938","051605750000","B","40","6","100","1","1021","4.5"
"اردبيل ","001","002","23023687768","051605890000","B","65","10","150","1","1021","10"
"اردبيل ","001","002","23023698880","051605980000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23023537652","051606400000","B","40","6","50","1","1021","5.5"
"اردبيل ","001","002","23024161434","051608230000","B","40","6","30","1","1021","6"
"اردبيل ","001","002","23024636202","051600950000","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23024455169","051604160001","B","40","6","65","1","1021","6"
"اردبيل ","001","002","23023612148","051605880000","B","40","6","50","1","1021","6"
"اردبيل ","001","002","23024477176","051601460001","B","40","6","75","1","1021","6"
"اردبيل ","001","002","23023416166","051601360000","B","40","6","60","1","1021","6"
"اردبيل ","001","002","23023859802","051605970000","B","40","6","100","1","1021","5.5"
"اردبيل ","001","002","23023685597","051601250002","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23024504283","051601060001","B","40","6","70","1","1021","6"
"اردبيل ","001","002","23023257256","051604200000","B","40","6","100","1","1021","6"
"اردبيل ","001","002","23025786599","051600230001","B","40","6","80","1","1021","6"
"اردبيل ","001","002","23025398862","051600120002","B","40","6","70","1","1021","6"
